iter	Passed	Remaining
0	186	186306
1	189	94385
2	191	63786
3	194	48444
4	197	39281
5	200	33171
6	202	28793
7	205	25493
8	208	22907
9	210	20857
10	213	19176
11	216	17791
12	218	16612
13	221	15603
14	224	14736
15	227	13974
16	230	13312
17	233	12714
18	235	12166
19	238	11679
20	241	11237
21	243	10839
22	246	10472
23	249	10132
24	252	9828
25	254	9542
26	257	9273
27	260	9035
28	262	8802
29	265	8581
30	268	8391
31	271	8204
32	274	8039
33	277	7879
34	279	7718
35	282	7571
36	285	7430
37	288	7293
38	290	7167
39	293	7053
40	297	6952
41	300	6848
42	302	6741
43	305	6641
44	308	6543
45	311	6452
46	313	6359
47	316	6272
48	318	6190
49	321	6113
50	324	6036
51	327	5963
52	329	5894
53	332	5829
54	335	5772
55	338	5714
56	341	5656
57	344	5598
58	347	5544
59	350	5491
60	353	5446
61	356	5398
62	359	5350
63	362	5299
64	365	5255
65	368	5209
66	371	5171
67	387	5307
68	390	5264
69	395	5258
70	401	5253
71	404	5214
72	407	5177
73	412	5159
74	415	5123
75	418	5087
76	420	5044
77	423	5005
78	429	5003
79	431	4960
80	433	4920
81	436	4884
82	438	4847
83	442	4825
84	445	4791
85	447	4754
86	449	4717
87	451	4682
88	453	4646
89	456	4615
90	459	4585
91	461	4554
92	463	4524
93	466	4497
94	469	4469
95	472	4449
96	474	4420
97	477	4390
98	479	4363
99	482	4339
100	484	4312
101	486	4286
102	489	4259
103	492	4241
104	494	4218
105	497	4197
106	500	4180
107	503	4159
108	505	4134
109	508	4110
110	510	4091
111	512	4065
112	514	4042
113	516	4015
114	519	3995
115	522	3979
116	524	3961
117	527	3943
118	530	3929
119	533	3913
120	536	3894
121	538	3876
122	540	3857
123	543	3841
124	546	3828
125	552	3834
126	558	3836
127	561	3825
128	564	3811
129	569	3811
130	571	3792
131	574	3776
132	578	3772
133	582	3765
134	585	3751
135	587	3734
136	590	3721
137	594	3710
138	596	3695
139	599	3685
140	602	3669
141	604	3655
142	608	3645
143	611	3633
144	614	3620
145	616	3606
146	620	3603
147	624	3592
148	626	3579
149	629	3567
150	633	3562
151	638	3563
152	642	3558
153	645	3548
154	648	3536
155	651	3527
156	654	3511
157	656	3499
158	658	3481
159	660	3468
160	663	3456
161	665	3444
162	668	3430
163	670	3417
164	673	3407
165	676	3396
166	678	3383
167	680	3370
168	683	3358
169	685	3348
170	688	3337
171	691	3326
172	694	3318
173	696	3306
174	698	3294
175	701	3283
176	704	3273
177	706	3262
178	708	3250
179	710	3235
180	711	3219
181	713	3206
182	715	3193
183	717	3180
184	719	3169
185	721	3157
186	722	3142
187	724	3130
188	726	3117
189	728	3105
190	730	3093
191	731	3079
192	733	3067
193	734	3053
194	736	3040
195	738	3027
196	739	3014
